Councils,Type,Months,Years,ESB_Connections
North Tipperary,County,Feb,2008,102
Offaly,County,Feb,2008,92
Roscommon,County,Feb,2008,122
Sligo,County,Feb,2008,75
South Dublin,County,Feb,2008,162
South Tipperary,County,Feb,2008,108
Waterford,County,Feb,2008,91
Westmeath,County,Feb,2008,158
Wexford,County,Feb,2008,215
Wicklow,County,Feb,2008,81
Carlow,County,Mar,2008,38
Cavan,County,Mar,2008,111
Clare,County,Mar,2008,94
Cork,County,Mar,2008,381
Donegal,County,Mar,2008,225
Dun Laoghaire,County,Mar,2008,86
Fingal,County,Mar,2008,82
Galway,County,Mar,2008,179
Kerry,County,Mar,2008,154
Kildare,County,Mar,2008,129
Kilkenny,County,Mar,2008,57
Laois,County,Mar,2008,102
Leitrim,County,Mar,2008,50
Limerick,County,Mar,2008,129
Longford,County,Mar,2008,66
Louth,County,Mar,2008,62
Mayo,County,Mar,2008,152
Meath,County,Mar,2008,187
Monaghan,County,Mar,2008,47
North Tipperary,County,Mar,2008,77
Offaly,County,Mar,2008,60
Roscommon,County,Mar,2008,59
Sligo,County,Mar,2008,53
South Dublin,County,Mar,2008,171
South Tipperary,County,Mar,2008,53
Waterford,County,Mar,2008,68
Westmeath,County,Mar,2008,91
Wexford,County,Mar,2008,151
Wicklow,County,Mar,2008,110
Carlow,County,Apr,2008,94
Cavan,County,Apr,2008,75
Clare,County,Apr,2008,128
Cork,County,Apr,2008,404
Donegal,County,Apr,2008,239
Dun Laoghaire,County,Apr,2008,235
Fingal,County,Apr,2008,192
Galway,County,Apr,2008,213
Kerry,County,Apr,2008,170
Kildare,County,Apr,2008,170
Kilkenny,County,Apr,2008,102
Laois,County,Apr,2008,163
Leitrim,County,Apr,2008,88
Limerick,County,Apr,2008,153
Longford,County,Apr,2008,64
Louth,County,Apr,2008,86
Mayo,County,Apr,2008,201
Meath,County,Apr,2008,194
Monaghan,County,Apr,2008,59
North Tipperary,County,Apr,2008,69
Offaly,County,Apr,2008,72
Roscommon,County,Apr,2008,78
Sligo,County,Apr,2008,90
South Dublin,County,Apr,2008,246
South Tipperary,County,Apr,2008,74
Waterford,County,Apr,2008,144
Westmeath,County,Apr,2008,86
Wexford,County,Apr,2008,197
Wicklow,County,Apr,2008,159
Carlow,County,May,2008,39
Cavan,County,May,2008,62
Clare,County,May,2008,97
Cork,County,May,2008,431
Donegal,County,May,2008,313
Dun Laoghaire,County,May,2008,185
